torneo,id_partido,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,anfitrion_local,estadio,ciudad,fuente
2022,M-2022-35,Fase de grupos,G,3,2022-11-29,Iran,United States,0.0,1.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-36,Fase de grupos,B,3,2022-11-29,Wales,England,0.0,3.0,False,Ahmad bin Ali Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-37,Fase de grupos,G,3,2022-11-30,Australia,Denmark,,0.0,False,Al Janoub Stadium,Al Wakrah,https://github.com/jfjelstul/worldcup
2022,M-2022-38,Fase de grupos,D,3,2022-11-30,Tunisia,France,1.0,0.0,False,Education City Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-39,Fase de grupos,G,3,2022-11-30,Poland,Argentina,0.0,2.0,False,Stadium 974,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-40,Fase de grupos,C,3,2022-11-30,Saudi Arabia,Mexico,1.0,2.0,False,Lusail Stadium,Lusail,https://github.com/jfjelstul/worldcup
2022,M-2022-41,Fase de grupos,G,3,2022-12-01,Canada,Morocco,1.0,2.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-42,Fase de grupos,F,3,2022-12-01,Croatia,Belgium,0.0,0.0,False,Ahmad bin Ali Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-43,Fase de grupos,G,3,2022-01-12,Costa Rica,Germany,2.0,4.0,False,Al Bayt Stadium,Al Khor,https://github.com/jfjelstul/worldcup
2022,M-2022-44,Fase de grupos,E,3,2022-12-01,Japan,Spain,2.0,1.0,False,Khalifa International Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-45,Fase de grupos,G,3,2022-12-02,Ghana,Uruguay,0.0,2.0,False,Al Janoub Stadium,Al Wakrah,https://github.com/jfjelstul/worldcup
2022,M-2022-46,Fase de grupos,H,3,2022-12-02,South Korea,Portugal,2.0,1.0,False,Education City Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-47,Fase de grupos,G,3,2022-12-02,Cameroon,Brazil,1.0,0.0,False,Lusail Stadium,Lusail,https://github.com/jfjelstul/worldcup
2022,M-2022-48,Fase de grupos,G,3,2022-02-12,Serbia,Switzerland,2.0,3.0,False,Stadium 974,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-03,Fase de grupos,G,1,2022-11-21,Senegal,Netherlands,0.0,2.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-03,Fase de grupos,G,1,2022-11-21,Senegal,Netherlands,0.0,2.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-42,Fase de grupos,F,3,2022-12-01,Croatia,Belgium,0.0,0.0,False,Ahmad bin Ali Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2026,M-2026-001,Fase de grupos,A,1,2026-06-11,Mexico,South Africa,,,True,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,M-2026-002,Fase de grupos,G,1,2026-06-12,South Korea,Czechia,2.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,M-2026-007,Fase de grupos,G,1,2026-12-06,Canada,Bosnia and Herzegovina,1.0,1.0,True,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,M-2026-008,Fase de grupos,B,1,2026-06-13,Qatar,Switzerland,1.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,M-2026-013,Fase de grupos,C,1,2026-06-13,Brazil,Morocco,1.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,M-2026-014,Fase de grupos,G,1,2026-06-13,Haiti,Scotland,0.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,M-2026-019,Fase de grupos,G,1,2026-06-13,United States,Paraguay,4.0,1.0,True,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,M-2026-020,Fase de grupos,D,1,,Australia,Turkey,2.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
