torneo,id_partido,fecha,fase,grupo,equipo,goles_favor,goles_contra
2018,M-2018-09,2018-06-17,Fase de grupos,G,Serbia,1.0,0.0
2018,M-2018-10,2018-06-17,Fase de grupos,,Mexico,1.0,0.0
2018,M-2018-11,2018-06-17,Fase de grupos,E,Switzerland,1.0,1.0
2018,M-2018-12,2018-06-18,Fase de grupos,G,South Korea,0.0,1.0
2018,M-2018-13,2018-06-18,Fase de grupos,G,Panama,0.0,3.0
2018,M-2018-14,2018-06-18,Fase de grupos,G,England,2.0,1.0
2018,M-2018-15,2018-06-19,Fase de grupos,G,Japan,2.0,1.0
2018,M-2018-16,2018-06-19,Fase de grupos,G,Senegal,2.0,1.0
2018,M-2018-17,2018-06-19,Fase de grupos,A,Egypt,1.0,3.0
2018,M-2018-18,2018-06-20,Fase de grupos,G,Morocco,0.0,1.0
2018,M-2018-19,2018-06-20,Fase de grupos,G,Saudi Arabia,0.0,1.0
2018,M-2018-20,2018-06-20,Fase de grupos,B,Spain,,0.0
2018,M-2018-21,2018-06-21,Fase de grupos,G,Australia,1.0,1.0
2018,M-2018-22,2018-06-21,Fase de grupos,G,Peru,0.0,1.0
2018,M-2018-23,2018-06-21,Fase de grupos,D,Croatia,3.0,1.0
2018,M-2018-24,2018-06-22,Fase de grupos,G,Costa Rica,0.0,2.0
2018,M-2018-25,2018-06-22,Fase de grupos,G,Iceland,0.0,2.0
2018,M-2018-26,2018-06-22,Fase de grupos,E,Switzerland,2.0,1.0
2018,M-2018-27,2018-06-23,Fase de grupos,G,Tunisia,2.0,5.0
2018,M-2018-28,2018-06-23,Fase de grupos,G,Mexico,2.0,1.0
2018,M-2018-29,2018-06-23,Fase de grupos,F,Sweden,1.0,2.0
2018,M-2018-30,2018-06-24,Fase de grupos,G,Panama,1.0,6.0
2018,M-2018-31,2018-06-24,Fase de grupos,G,Senegal,2.0,2.0
2018,M-2018-32,2018-06-24,Fase de grupos,D,Colombia,3.0,0.0
2018,M-2018-33,2018-06-25,Fase de grupos,G,Egypt,1.0,2.0
2018,M-2018-34,2018-06-25,Fase de grupos,G,Russia,0.0,3.0
2018,M-2018-35,2018-06-25,Fase de grupos,B,Morocco,2.0,2.0
